Extracellular,Intracellular_PD1
-8.407699999999999896e-02,-3.979706000000000188e+00
-8.651899999999999868e-02,-3.953155000000000197e+00
-8.316199999999999981e-02,-3.995880000000000098e+00
-5.081299999999999706e-02,-3.964446000000000137e+00
-3.158600000000000296e-02,-3.967192999999999969e+00
-1.785300000000000081e-02,-3.972380999999999940e+00
-1.067999999999999939e-03,-4.016327000000000425e+00
1.235999999999999946e-02,-3.983368000000000020e+00
1.067999999999999939e-03,-3.990692000000000128e+00
-4.562399999999999789e-02,-4.003204000000000207e+00
-6.088299999999999962e-02,-3.984894000000000158e+00
-7.003900000000000403e-02,-3.954985999999999891e+00
-6.546100000000000529e-02,-3.960478999999999861e+00
-4.806599999999999762e-02,-4.001373000000000069e+00
4.580000000000000195e-04,-3.985504000000000158e+00
1.785300000000000081e-02,-3.989470999999999989e+00
5.661100000000000160e-02,-3.971770999999999940e+00
6.973400000000000432e-02,-3.998015999999999792e+00
7.248000000000000276e-02,-4.011139000000000010e+00
7.980500000000000094e-02,-3.985199000000000158e+00
9.628399999999999459e-02,-3.981231000000000186e+00
1.200890000000000013e-01,-3.982451999999999881e+00
1.158160000000000023e-01,-3.985199000000000158e+00
1.152060000000000028e-01,-3.987029999999999852e+00
1.295489999999999975e-01,-3.996795999999999793e+00
9.140199999999999714e-02,-3.976958999999999911e+00
9.964099999999999346e-02,-3.974212000000000078e+00
8.194099999999999995e-02,-4.017547999999999675e+00
7.003900000000000403e-02,-4.008391999999999733e+00
4.531899999999999817e-02,-3.988555999999999990e+00
3.433300000000000241e-02,-4.014191000000000287e+00
-1.984000000000000086e-03,-4.002289000000000208e+00
-9.308000000000000301e-03,-3.980011000000000188e+00
-2.212599999999999983e-02,-3.975738000000000216e+00
-3.891100000000000114e-02,-3.987639999999999851e+00
-3.646900000000000142e-02,-3.970854999999999801e+00
-4.806599999999999762e-02,-3.974517000000000078e+00
-3.372200000000000197e-02,-3.997710999999999792e+00
-7.217500000000000304e-02,-3.990082000000000129e+00
-4.318299999999999916e-02,-3.992827999999999822e+00
-5.355900000000000244e-02,-3.978180000000000049e+00
-5.478000000000000230e-02,-3.986419000000000157e+00
-6.881800000000000417e-02,-4.018768999999999814e+00
-7.644800000000000206e-02,-4.002594000000000207e+00
-7.919400000000000051e-02,-3.978485000000000049e+00
-7.126000000000000389e-02,-3.954680999999999891e+00
-6.302000000000000657e-02,-3.994048999999999960e+00
-6.088299999999999962e-02,-3.974517000000000078e+00
-3.646900000000000142e-02,-3.982756999999999881e+00
-5.630600000000000188e-02,-3.981231000000000186e+00
-4.379299999999999859e-02,-3.968414000000000108e+00
-4.440399999999999903e-02,-3.972075999999999940e+00
-4.379299999999999859e-02,-3.995880000000000098e+00
-1.724300000000000138e-02,-3.999541999999999931e+00
-5.020199999999999663e-02,-3.988860999999999990e+00
-4.074200000000000044e-02,-3.977568999999999910e+00
-3.005999999999999991e-02,-3.966582999999999970e+00
-5.172800000000000314e-02,-3.988555999999999990e+00
-4.959199999999999720e-02,-3.995270000000000099e+00
-4.409899999999999931e-02,-3.971465999999999941e+00
-3.372200000000000197e-02,-3.979095000000000049e+00
-2.487199999999999828e-02,-4.000153000000000070e+00
-2.517700000000000146e-02,-3.984283000000000019e+00
-1.541200000000000035e-02,-3.964446000000000137e+00
-3.494300000000000184e-02,-3.980621000000000187e+00
-1.602200000000000152e-02,-3.984588000000000019e+00
-1.419100000000000049e-02,-3.979400000000000048e+00
-2.151499999999999940e-02,-3.976043000000000216e+00
-1.937900000000000039e-02,-3.972685999999999940e+00
-3.494300000000000184e-02,-3.977873999999999910e+00
-7.492200000000000248e-02,-3.961088999999999860e+00
-6.027300000000000019e-02,-3.980621000000000187e+00
-8.224599999999999966e-02,-3.983368000000000020e+00
-1.060500000000000054e-01,-3.960783999999999860e+00
-1.292439999999999978e-01,-3.969939999999999802e+00
-1.448079999999999923e-01,-3.965056999999999832e+00
-1.637290000000000134e-01,-3.980621000000000187e+00
-1.246659999999999990e-01,-3.961699999999999999e+00
-8.651899999999999868e-02,-3.989775999999999989e+00
-7.461700000000000277e-02,-3.982146999999999881e+00
-5.966300000000000076e-02,-3.970549999999999802e+00
1.530000000000000056e-04,-3.974823000000000217e+00
7.675300000000000178e-02,-3.971159999999999801e+00
9.628399999999999459e-02,-3.985199000000000158e+00
1.496909999999999907e-01,-3.976348999999999911e+00
1.759370000000000100e-01,-3.934539000000000009e+00
1.570149999999999879e-01,-3.966277999999999970e+00
1.719690000000000107e-01,-3.971465999999999941e+00
1.356529999999999958e-01,-3.988555999999999990e+00
1.258869999999999989e-01,-3.965971999999999831e+00
1.078810000000000047e-01,-3.971770999999999940e+00
7.583700000000000163e-02,-3.995880000000000098e+00
5.874700000000000061e-02,-4.001373000000000069e+00
2.243099999999999955e-02,-4.006866999999999734e+00
2.609300000000000161e-02,-3.988555999999999990e+00
-1.022400000000000045e-02,-3.988250999999999991e+00
-3.982600000000000029e-02,-3.973297000000000079e+00
-6.485100000000000586e-02,-3.973297000000000079e+00
-4.348799999999999888e-02,-3.951934000000000058e+00
-8.163600000000000023e-02,-3.985199000000000158e+00
-4.837099999999999733e-02,-3.979095000000000049e+00
-7.522700000000000220e-02,-3.980926000000000187e+00
-6.881800000000000417e-02,-4.007476999999999734e+00
-7.644800000000000206e-02,-3.968109000000000108e+00
-7.980500000000000094e-02,-4.011444000000000010e+00
-7.950000000000000122e-02,-3.969329000000000107e+00
-6.088299999999999962e-02,-3.980926000000000187e+00
-5.783200000000000146e-02,-3.976043000000000216e+00
-9.842099999999999460e-02,-3.991607999999999823e+00
-6.454600000000000615e-02,-3.980011000000000188e+00
-5.081299999999999706e-02,-3.989165999999999990e+00
-9.308000000000000301e-03,-3.978790000000000049e+00
-4.135199999999999987e-02,-3.977568999999999910e+00
-5.172800000000000314e-02,-4.009917999999999871e+00
-5.172800000000000314e-02,-3.996185000000000098e+00
-7.553200000000000192e-02,-3.995880000000000098e+00
-2.578799999999999842e-02,-3.990692000000000128e+00
-2.822900000000000062e-02,-3.994658999999999960e+00
-3.860500000000000043e-02,-4.002899000000000207e+00
-3.555400000000000227e-02,-3.969939999999999802e+00
-2.548299999999999871e-02,-3.957733000000000168e+00
-3.372200000000000197e-02,-3.983978000000000019e+00
-6.485100000000000586e-02,-4.002899000000000207e+00
-3.952100000000000057e-02,-3.996490000000000098e+00
-5.341000000000000261e-03,-3.947051000000000087e+00
-4.531899999999999817e-02,-3.988555999999999990e+00
-1.449600000000000020e-02,-3.983061999999999880e+00
-2.151499999999999940e-02,-4.000153000000000070e+00
-1.358099999999999932e-02,-3.961395000000000000e+00
-2.120999999999999969e-02,-3.951324000000000058e+00
9.613000000000000017e-03,-3.990692000000000128e+00
-1.266499999999999918e-02,-3.971465999999999941e+00
-3.280700000000000283e-02,-3.972380999999999940e+00
1.067999999999999939e-03,-3.977263999999999911e+00
7.630000000000000063e-04,-3.956512000000000029e+00
1.510599999999999964e-02,-3.984588000000000019e+00
-2.288999999999999802e-03,-3.999541999999999931e+00
-5.645999999999999977e-03,-3.985504000000000158e+00
-7.630000000000000063e-04,-3.963531000000000137e+00
-9.308000000000000301e-03,-3.970244999999999802e+00
-6.256000000000000276e-03,-3.955595999999999890e+00
-1.174900000000000076e-02,-3.977873999999999910e+00
-1.419100000000000049e-02,-3.990997000000000128e+00
-2.304099999999999898e-02,-3.948576999999999781e+00
-1.998899999999999982e-02,-3.985809000000000157e+00
3.203999999999999817e-03,-3.969329000000000107e+00
-9.308000000000000301e-03,-3.964751999999999832e+00
